"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 18 12:33:26 IST 2022","Thu Aug 18 12:33:26 IST 2022","0","","Login Page Test Cases","","Login Page Test Cases","Setmore login and validating userid","Setmore login and validating userid",""
"passed","Thu Aug 04 16:25:24 IST 2022","Thu Aug 04 16:25:29 IST 2022","5363","","setmore signup","","setmore signup","signup","signup",""
"skipped","Thu Aug 18 13:50:41 IST 2022","Thu Aug 18 13:50:41 IST 2022","0","","setmore staff tab testing","","setmore staff tab testing","adding new staff- smoke","adding new staff- smoke",""
"passed","Wed Aug 03 19:06:14 IST 2022","Wed Aug 03 19:07:49 IST 2022","95002","","setmore staff tab testing","","setmore staff tab testing","adding new staff- smoke","adding new staff- smoke",""
"broken","Tue Aug 16 18:02:25 IST 2022","Tue Aug 16 18:03:22 IST 2022","57206","","login on setmore using page object method- smoke","","login on setmore using page object method- smoke","setmore login and creating customer","setmore login and creating customer",""
"broken","Fri Aug 12 19:10:42 IST 2022","Fri Aug 12 19:11:20 IST 2022","37986","","setmore signup","","setmore signup","signup","signup",""
"broken","Thu Aug 18 13:00:14 IST 2022","Thu Aug 18 13:00:40 IST 2022","25982","","Login Page Test Cases","","Login Page Test Cases","Setmore login and validating userid","Setmore login and validating userid",""
"passed","Thu Aug 18 11:51:07 IST 2022","Thu Aug 18 11:51:40 IST 2022","33130","","Customer Page tese cases","","Customer Page tese cases","Create new customer","Create new customer",""
"passed","Wed Aug 03 19:06:14 IST 2022","Wed Aug 03 19:07:34 IST 2022","79634","","login on setmore using page object method- smoke","","login on setmore using page object method- smoke","setmore login and creating customer","setmore login and creating customer",""
"skipped","Thu Aug 18 13:27:15 IST 2022","Thu Aug 18 13:27:15 IST 2022","0","","Login Page Test Cases","","Login Page Test Cases","login and then logout","login and then logout",""
"broken","Thu Aug 18 13:50:30 IST 2022","Thu Aug 18 13:51:38 IST 2022","67953","","setmore signup","","setmore signup","signup","signup",""
"skipped","Thu Aug 18 13:38:45 IST 2022","Thu Aug 18 13:38:45 IST 2022","1","","Login Page Test Cases","","Login Page Test Cases","setmore login and validating the title of the page","setmore login and validating the title of the page",""
"passed","Thu Aug 18 14:15:52 IST 2022","Thu Aug 18 14:16:57 IST 2022","65208","","Login Page Test Cases","","Login Page Test Cases","setmore login and validating the title of the page","setmore login and validating the title of the page",""
"passed","Tue Aug 09 10:37:22 IST 2022","Tue Aug 09 10:37:55 IST 2022","33502","","Setmore services testing","","Setmore services testing","Creating private service","Creating private service",""
"passed","Fri Aug 05 16:55:29 IST 2022","Fri Aug 05 16:56:00 IST 2022","31620","","Setmore services testing","","Setmore services testing","Creating private service","Creating private service",""
"skipped","Fri Aug 05 15:39:30 IST 2022","Fri Aug 05 15:39:30 IST 2022","0","","setmore signup","","setmore signup","signup","signup",""
"broken","Tue Aug 16 19:02:57 IST 2022","Tue Aug 16 19:03:28 IST 2022","30154","","Setmore services testing","","Setmore services testing","Creating Serice without video meeting","Creating Serice without video meeting",""
"broken","Tue Aug 16 13:13:45 IST 2022","Tue Aug 16 13:14:41 IST 2022","56570","","Customer Page tese cases","","Customer Page tese cases","Create new customer","Create new customer",""
"passed","Thu Aug 18 14:17:24 IST 2022","Thu Aug 18 14:17:59 IST 2022","35633","","Login Page Test Cases","","Login Page Test Cases","login and then logout","login and then logout",""
"broken","Thu Aug 18 12:22:56 IST 2022","Thu Aug 18 12:23:28 IST 2022","31910","","login on setmore using page object method- smoke","","login on setmore using page object method- smoke","Setmore login and validating userid","Setmore login and validating userid",""
"skipped","Tue Aug 16 18:03:22 IST 2022","Tue Aug 16 18:03:22 IST 2022","0","","login on setmore using page object method- smoke","","login on setmore using page object method- smoke","login and then logout - smoke","login and then logout - smoke",""
"passed","Fri Aug 05 16:34:53 IST 2022","Fri Aug 05 16:35:22 IST 2022","28560","","Setmore services testing","","Setmore services testing","Creating Serice without video meeting","Creating Serice without video meeting",""
"passed","Fri Aug 05 15:51:52 IST 2022","Fri Aug 05 15:52:16 IST 2022","23705","","login on setmore using page object method- smoke","","login on setmore using page object method- smoke","login and then logout - smoke","login and then logout - smoke",""
"broken","Wed Aug 17 10:25:34 IST 2022","Wed Aug 17 10:26:00 IST 2022","26195","","Setmore services testing","","Setmore services testing","Deleting a service with specific name","Deleting a service with specific name",""
"skipped","Wed Aug 17 10:25:34 IST 2022","Wed Aug 17 10:25:34 IST 2022","0","","Setmore services testing","","Setmore services testing","Creating Serice without video meeting","Creating Serice without video meeting",""
"skipped","Wed Aug 17 19:36:52 IST 2022","Wed Aug 17 19:36:52 IST 2022","0","","Customer Page tese cases","","Customer Page tese cases","Create new customer","Create new customer",""
"skipped","Fri Aug 05 15:51:52 IST 2022","Fri Aug 05 15:51:52 IST 2022","0","","login on setmore using page object method- smoke","","login on setmore using page object method- smoke","setmore login and creating customer","setmore login and creating customer",""
"passed","Thu Aug 18 14:16:57 IST 2022","Thu Aug 18 14:17:24 IST 2022","26957","","Login Page Test Cases","","Login Page Test Cases","Setmore login and validating user id","Setmore login and validating user id",""
"broken","Thu Aug 18 13:50:30 IST 2022","Thu Aug 18 13:51:39 IST 2022","68854","","Customer Page tese cases","","Customer Page tese cases","Create new customer and verifying that the customer is added","Create new customer and verifying that the customer is added",""
"broken","Thu Aug 18 12:23:28 IST 2022","Thu Aug 18 12:24:03 IST 2022","35105","","login on setmore using page object method- smoke","","login on setmore using page object method- smoke","login and then logout","login and then logout",""
"skipped","Wed Aug 17 10:25:34 IST 2022","Wed Aug 17 10:25:34 IST 2022","0","","Setmore services testing","","Setmore services testing","Creating private service","Creating private service",""
"passed","Thu Aug 18 12:22:31 IST 2022","Thu Aug 18 12:22:56 IST 2022","25065","","login on setmore using page object method- smoke","","login on setmore using page object method- smoke","setmore login and validating the title of the page","setmore login and validating the title of the page",""
